Categorie,SUpabase_key,Style nummer,Style naam,Beschrijving (NL),Description (EN)
Kleding & Mode,FASHION,1,Studio,"Een professioneel studioresultaat met neutrale achtergrond en zachte belichting, waarin je outfit helder en stijlvol wordt weergegeven.","A professional studio result with a neutral background and soft lighting, showcasing your outfit clearly and stylishly."
Kleding & Mode,FASHION,2,Echte wereld,"Een realistische weergave van jezelf in een alledaagse omgeving zoals kantoor, café of evenement, waarin je kleding natuurlijk tot leven komt.","A realistic depiction of yourself in an everyday setting such as an office, café, or event, where your outfit comes to life naturally."
Fietsen & E-bikes,BIKES,1,Studio,"Een studiofoto waarin jij met de fiets centraal staat, strak uitgelicht met een moderne, cleane uitstraling.","A studio image with you and the bike as the focus, cleanly lit with a modern, polished appearance."
Fietsen & E-bikes,BIKES,2,Echte wereld,"Een dynamisch buitenbeeld waarin je op een fiets in een realistische omgeving wordt weergegeven, bijvoorbeeld in het park of op een fietspad.","A dynamic outdoor image showing you on a bike in a realistic setting, such as a park or bike path."
Automotive,AUTOMOTIVE,1,In de auto,"Een realistische weergave van jezelf achter het stuur in een stijlvolle autointerieur, met natuurlijke lichtinval.",A realistic image of you behind the wheel inside a stylish car interior with natural lighting.
Automotive,AUTOMOTIVE,2,Naast de auto,Een foto-achtig resultaat waarin jij naast of voor de auto staat in een aantrekkelijke buitenomgeving.,A photo-like result showing you next to or in front of the car in an appealing outdoor setting.
Automotive,AUTOMOTIVE,3,Met partner bij de auto,"Een warme, natuurlijke compositie van jou en je partner samen bij de auto, met een lichte romantische uitstraling.","A warm, natural composition of you and your partner next to the car, with a soft romantic tone."
Automotive,AUTOMOTIVE,4,Met gezin bij de auto,"Een vriendelijk, gezinsgericht beeld waarin jij met je gezin rondom de auto staat in een ontspannen sfeer.","A friendly, family-oriented image showing you and your family around the car in a relaxed atmosphere."
Sieraden & Accessoires,JEWELRY,1,Zakelijk,Een stijlvolle en professionele look waarin sieraden subtiel de zakelijke uitstraling versterken.,"A sleek, professional look where the jewelry subtly enhances a business appearance."
Sieraden & Accessoires,JEWELRY,2,Casual en natuurlijk,Een ontspannen lifestylebeeld waarin de sieraden op natuurlijke wijze onderdeel zijn van je dagelijkse look.,A relaxed lifestyle image where the jewelry naturally complements your everyday look.
Sieraden & Accessoires,JEWELRY,3,Gala,Een luxueuze en glamoureuze sfeer waarin de sieraden als opvallend statement naar voren komen.,"A luxurious, glamorous scene where the jewelry stands out as a bold statement piece."
Schoenen & Footwear,SHOES,1,Close-up Schoenportret,"Een close-up compositie waarin vooral de schoenen en details duidelijk zichtbaar zijn, met een focus op stijl en textuur.","A close-up composition focusing on the shoes and their details, emphasizing style and texture."
Schoenen & Footwear,SHOES,2,Volledig lichaam,"Een volledig lichaamsbeeld waarin je outfit en schoenen samen een compleet, gebalanceerd geheel vormen.","A full-body image where your outfit and shoes form a complete, balanced look."
Motoren & Scooters,MOTORS,1,Rijdend,"Een dynamisch beeld waarin je actief op een motor of scooter rijdt, met een realistische weergave van beweging en energie.","A dynamic scene showing you riding a motorcycle or scooter, with realistic movement and energy."
Motoren & Scooters,MOTORS,2,Stilstaand,"Een rustig en krachtig beeld waarin je ontspannen op de motor zit, met aandacht voor zowel persoon als voertuig.","A calm yet strong image showing you seated naturally on the motorcycle, highlighting both rider and vehicle."
Brillen & Zonnebrillen,GLASSES,1,Close-up met bril,Een close-up portret waarin de bril perfect past en je gezicht scherp en natuurlijk wordt weergegeven.,A close-up portrait where the glasses fit perfectly and your face appears sharp and natural.
Brillen & Zonnebrillen,GLASSES,2,Volledig lichaam met bril,Een volledig lichaamsbeeld waarin de bril natuurlijk deel uitmaakt van je totale look.,A full-body portrait where the glasses naturally complement your overall appearance.
Horloges,WATCHES,1,Zakelijk,"Een professionele, stijlvolle setting waarin het horloge zichtbaar je zakelijke look versterkt.","A professional, stylish scene where the watch enhances your business appearance."
Horloges,WATCHES,2,Casual,Een informele lifestyle-weergave waarin het horloge natuurlijk past bij een ontspannen sfeer.,A casual lifestyle depiction where the watch fits naturally in a relaxed setting.
Tassen & Bagage,BAGS,1,Zakelijk,Een moderne zakelijke sfeer waarin jij en je tas of koffer professioneel worden gepresenteerd.,A modern business setting presenting you and your bag or suitcase in a professional manner.
Tassen & Bagage,BAGS,2,Casual en natuurlijk,Een spontaan en natuurlijk beeld waarin de tas functioneel en stijlvol deel uitmaakt van je outfit.,A spontaneous and natural image where the bag appears functional yet stylish as part of your outfit.
Tassen & Bagage,BAGS,3,Gala,"Een elegante, luxe setting waarin de tas of clutch als fashion statement naar voren komt.","An elegant, luxurious setting where the bag or clutch stands out as a fashion statement."
Meubels & Interieur,FURNITURE,1,Overdag,"Een heldere, huiselijke weergave waarin jij en het meubelstuk natuurlijk in het interieur zijn geïntegreerd.","A bright, homely image where you and the furniture are naturally integrated into the interior."
Meubels & Interieur,FURNITURE,2,’s Avonds,"Een warme, sfeervolle avondsetting waarin jij samen met partner of gezin het interieur tot leven brengt.","A warm, cozy evening scene where you, with partner or family, bring the interior to life."
